ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_8,2021,281.62,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_9,2021,204.51,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_0,2021,796.31,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_TOTAL,2021,574.06,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_1,2021,721.11,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_2,2021,1157.57,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_3,2021,931.82,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_4,2021,621.68,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_5,2021,383.08,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_6,2021,160.54,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_7,2021,236.76,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_8,2021,281.46,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_9,2021,286.39,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_0,2021,788.52,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_TOTAL,2021,500.89,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_1,2021,1414.05,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_2,2021,1179.49,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_3,2021,816.16,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_4,2021,802.03,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_5,2021,241,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_6,2021,79.37,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_7,2021,153.57,U,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_8,2021,,U,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_9,2021,171.95,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_0,2021,,U,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_TOTAL,2019,625.45,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_L3-4,2019,1156.78,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_L2,2019,373.52,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_L1,2019,218.67,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_SKILL_X,2019,942.71,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_TOTAL,2019,678.91,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_L3-4,2019,1211.48,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_L2,2019,393.8,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_L1,2019,273.48,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_X,2019,956.72,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_TOTAL,2019,500.31,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_L3-4,2019,1025.32,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_L2,2019,308.55,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_L1,2019,194.39,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_X,2019,603.95,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_TOTAL,2019,625.45,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_1,2019,1059.07,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_2,2019,1187.68,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_3,2019,1148.47,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_4,2019,655.51,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_5,2019,375.89,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_6,2019,261.54,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_7,2019,398.4,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_8,2019,298.15,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_9,2019,218.67,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_0,2019,942.71,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_TOTAL,2019,678.91,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_1,2019,1058.65,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_2,2019,1239.13,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_3,2019,1268.49,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_4,2019,734.34,B,,T30:2_I11:264,R1:3513
